Ticker,Event_Date,Event_Type
ADBE,2008-03-19,Earnings Call
ADBE,2008-06-17,Earnings Call
ADBE,2008-09-17,Earnings Call
ADBE,2008-12-17,Earnings Call
ADBE,2009-03-18,Earnings Call
ADBE,2009-06-17,Earnings Call
ADBE,2009-09-16,Earnings Call
ADBE,2009-12-16,Earnings Call
ADBE,2010-03-24,Earnings Call
ADBE,2010-06-23,Earnings Call
ADBE,2010-09-22,Earnings Call
ADBE,2010-12-21,Earnings Call
ADBE,2011-03-23,Earnings Call
ADBE,2011-06-22,Earnings Call
ADBE,2011-09-21,Earnings Call
ADBE,2011-12-16,Earnings Call
ADBE,2012-03-20,Earnings Call
ADBE,2012-06-20,Earnings Call
ADBE,2012-09-20,Earnings Call
ADBE,2012-12-14,Earnings Call
ADBE,2013-02-26,Earnings Call
ADBE,2013-03-20,Earnings Call
ADBE,2013-05-07,Earnings Call
ADBE,2013-06-19,Earnings Call
ADBE,2013-09-18,Earnings Call
ADBE,2013-11-21,Earnings Call
ADBE,2013-12-13,Earnings Call
ADBE,2014-03-19,Earnings Call
ADBE,2014-06-18,Earnings Call
ADBE,2014-09-17,Earnings Call
ADBE,2015-03-18,Earnings Call
ADBE,2015-06-17,Earnings Call
ADBE,2015-09-18,Earnings Call
ADBE,2015-12-11,Earnings Call
ADBE,2016-03-18,Earnings Call
ADBE,2016-06-22,Earnings Call
ADBE,2016-09-21,Earnings Call
ADBE,2016-12-16,Earnings Call
ADBE,2017-03-17,Earnings Call
ADBE,2017-06-21,Earnings Call
ADBE,2017-09-20,Earnings Call
ADBE,2017-12-15,Earnings Call
ADBE,2018-03-16,Earnings Call
ADBE,2018-06-15,Earnings Call
ADBE,2018-09-05,Earnings Call
ADBE,2018-09-14,Earnings Call
ADBE,2018-11-14,Earnings Call
ADBE,2018-12-14,Earnings Call
ADBE,2019-03-15,Earnings Call
ADBE,2019-06-19,Earnings Call
ADBE,2019-09-18,Earnings Call
ADBE,2019-12-13,Earnings Call
ADBE,2020-03-13,Earnings Call
ADBE,2020-06-12,Earnings Call
ADBE,2020-06-23,Earnings Call
ADBE,2020-09-16,Earnings Call
ADBE,2020-12-10,Earnings Call
AMGN,2006-04-19,Earnings Call
AMGN,2006-07-21,Earnings Call
AMGN,2006-10-24,Earnings Call
AMGN,2007-01-26,Earnings Call
AMGN,2007-04-24,Earnings Call
AMGN,2007-07-27,Earnings Call
AMGN,2007-10-25,Earnings Call
AMGN,2008-01-25,Earnings Call
AMGN,2008-04-25,Earnings Call
AMGN,2008-07-29,Earnings Call
AMGN,2008-10-23,Earnings Call
AMGN,2009-01-27,Earnings Call
AMGN,2009-04-24,Earnings Call
AMGN,2009-07-28,Earnings Call
AMGN,2009-10-22,Earnings Call
AMGN,2010-01-26,Earnings Call
AMGN,2010-04-22,Earnings Call
AMGN,2010-07-30,Earnings Call
AMGN,2010-10-26,Earnings Call
AMGN,2011-01-25,Earnings Call
AMGN,2011-04-21,Earnings Call
AMGN,2011-07-29,Earnings Call
AMGN,2011-10-25,Earnings Call
AMGN,2012-01-10,Earnings Call
AMGN,2012-01-27,Earnings Call
AMGN,2012-04-25,Earnings Call
AMGN,2012-07-27,Earnings Call
AMGN,2012-10-24,Earnings Call
AMGN,2013-01-24,Earnings Call
AMGN,2013-03-06,Earnings Call
AMGN,2013-04-23,Earnings Call
AMGN,2013-05-21,Earnings Call
AMGN,2013-05-30,Earnings Call
AMGN,2013-06-12,Earnings Call
AMGN,2013-07-31,Earnings Call
AMGN,2013-08-26,Earnings Call
AMGN,2013-09-03,Earnings Call
AMGN,2013-09-11,Earnings Call
AMGN,2013-10-23,Earnings Call
AMGN,2014-01-29,Earnings Call
AMGN,2014-04-23,Earnings Call
AMGN,2014-06-12,Earnings Call
AMGN,2014-07-30,Earnings Call
AMGN,2014-10-28,Earnings Call
AMGN,2015-01-28,Earnings Call
AMGN,2015-04-22,Earnings Call
AMGN,2015-07-31,Earnings Call
AMGN,2015-10-29,Earnings Call
AMGN,2016-01-29,Earnings Call
AMGN,2016-04-29,Earnings Call
AMGN,2016-07-28,Earnings Call
AMGN,2016-10-28,Earnings Call
AMGN,2017-02-03,Earnings Call
AMGN,2017-04-27,Earnings Call
AMGN,2017-07-26,Earnings Call
AMGN,2017-10-26,Earnings Call
AMGN,2018-02-02,Earnings Call
AMGN,2018-04-25,Earnings Call
AMGN,2018-07-27,Earnings Call
AMGN,2018-09-12,Earnings Call
AMGN,2018-09-14,Earnings Call
AMGN,2018-10-31,Earnings Call
AMGN,2018-11-28,Earnings Call
AMGN,2018-11-29,Earnings Call
AMGN,2019-01-08,Earnings Call
AMGN,2019-01-30,Earnings Call
AMGN,2019-03-12,Earnings Call
AMGN,2019-05-01,Earnings Call
AMGN,2019-05-15,Earnings Call
AMGN,2019-06-08,Earnings Call
AMGN,2019-06-12,Earnings Call
AMGN,2019-07-31,Earnings Call
AMGN,2019-08-27,Earnings Call
AMGN,2019-09-18,Earnings Call
AMGN,2019-10-30,Earnings Call
AMGN,2020-01-15,Earnings Call
AMGN,2020-01-31,Earnings Call
AMGN,2020-05-01,Earnings Call
AMGN,2020-06-03,Earnings Call
AMGN,2020-06-10,Earnings Call
AMGN,2020-06-23,Earnings Call
AMGN,2020-07-29,Earnings Call
AMGN,2020-10-29,Earnings Call
AMGN,2021-02-03,Earnings Call
AMT,2007-08-02,Earnings Call
AMT,2007-11-07,Earnings Call
AMT,2008-02-26,Earnings Call
AMT,2008-05-03,Earnings Call
AMT,2008-07-30,Earnings Call
AMT,2008-11-03,Earnings Call
AMT,2009-02-26,Earnings Call
AMT,2009-04-30,Earnings Call
AMT,2009-07-29,Earnings Call
