CAR_Window,R_Squared,Adj_R_Squared,F_Statistic,F_PValue,N_Obs,positive_ratio_coef,positive_ratio_pval,positive_ratio_sig,negative_ratio_coef,negative_ratio_pval,negative_ratio_sig,uncertainty_ratio_coef,uncertainty_ratio_pval,uncertainty_ratio_sig
CAR_-1_1,0.008616322725739312,0.00668756070769605,3.342596170235122,0.0008047952776122036,4121,0.16640326836117095,0.06390274899128252,*,-0.3113248568215713,0.005815715839421096,***,0.33231821366125547,0.08502828544394592,*
CAR_0_1,0.0062541841212525595,0.0038523815451105836,2.0707426396276123,0.03527675649655571,3319,0.15414051428082018,0.10716742522427052,,-0.27758522873737046,0.022076398391873985,**,0.40632973986148657,0.03864910581443338,**
CAR_0_2,0.00717209111094097,0.0047854855607267766,2.190700713373522,0.02534489456382663,3337,0.17169398272196493,0.07671716126351733,*,-0.26330421896379175,0.03503421459560441,**,0.40262811837922524,0.05137960697936171,*
