ticker,n_observations,industry,avg_market_cap_b,pos_correlation,neg_correlation,unc_correlation,pos_slope,neg_slope,pos_p_value,neg_p_value,mean_car,std_car,mean_pos_sentiment,std_pos_sentiment,pos_significant,neg_significant
TD,45,Other,54.56719112390244,0.325594070438651,-0.29986536280787474,-0.05778577048235318,1.0851942582063105,-0.8361734545704316,0.029069327871168275,0.0453633746841599,-0.002564625491648136,0.023120011482269432,0.033541742338277475,0.006936766012329311,True,True
MDT,76,Healthcare,68.87241271367984,0.2727096780624298,-0.18173711713109683,-0.20677615596906385,1.2709565013491082,-0.9049090956941761,0.017153928638230405,0.11613506320697725,0.002111011281137522,0.03328637329764768,0.03719835918613425,0.007142271302150518,True,False
XOM,73,Energy,208.12975929034772,0.23142445485281538,0.02457947211437439,0.02621245463579422,0.7798060705132087,0.10432732677594078,0.04883883448554208,0.8364678665049472,-0.007610795964397974,0.023156477020973405,0.03506706981407339,0.006872189475729076,True,False
LMT,61,Industrial,36.51502226150464,0.21209670018407042,-0.2566775355955182,-0.06816804555117446,1.2024785742113713,-2.264279907745939,0.10080008553021731,0.04584322054348144,-0.0014460303435677693,0.03292470014368848,0.03284966534129393,0.005807355245066352,False,True
BAC,75,Financial,121.97368358280369,0.20294536890396517,-0.26805380623219255,-0.14634107600784993,1.3239788589768837,-1.454121328882231,0.08076567801512215,0.02006395215197736,-0.007672755122699324,0.04600390876120602,0.028049412800990096,0.007051683772188028,False,True
PEP,67,Consumer,90.98319006684937,0.20156842303990957,-0.1626669307873177,-0.03055146221056739,0.6520433201107525,-0.7881001556736869,0.10190323831669643,0.18843993099889056,-0.0025447289826181626,0.02782604896416018,0.047454168729431846,0.008601963452649722,False,False
ORCL,69,Technology,86.90148891009093,0.19451297724831368,0.055407909701404016,0.20470084439568814,1.561371591022338,0.5717212313310179,0.10925150609907221,0.6511306545170308,0.00117032382603841,0.05421199308729732,0.029034670995419575,0.0067536365069065345,False,False
TSLA,43,Technology,90.76220935031522,0.16424341271934725,-0.09069226054727109,-0.034149319878554976,3.2460856474055086,-2.4727134957279664,0.292594269385006,0.5630085274920829,0.0010374017091416756,0.10801939309924591,0.030962179240580315,0.005465497737767038,False,False
SAP,60,Other,79.98857136742514,0.15040028556507373,-0.29263371667190047,-0.08695469344489912,1.0804021719590289,-2.8265982693806597,0.25137026695423115,0.023270355999505478,-0.007087199535322718,0.04897282830253345,0.03745306886220159,0.006817394071204877,False,True
UNH,57,Healthcare,94.64435772953529,0.14689985432408484,0.2545285819211393,-0.06247082048197684,1.1795592005761875,2.1747828188098968,0.27552499124123636,0.05604649370162761,0.009873831685349556,0.04721201168108414,0.04268733291297372,0.005879685932601305,False,False
BA,80,Industrial,108.13999090921553,0.14435453913146776,-0.0717872000452027,-0.045342532871950864,0.6244195713822241,-0.395422227359974,0.20141567218331,0.5268668776100232,0.007744743010201729,0.04150862938549949,0.039200525088854,0.009596046215621956,False,False
TMO,66,Healthcare,49.87252016005011,0.14006615534965058,-0.08307928547390708,0.11693533177388175,0.6724066479271895,-0.6147889363737866,0.2619893813812533,0.50720797451582,0.00806339982609748,0.038627167594305144,0.04319275636402352,0.0080462602112268,False,False
HON,70,Industrial,46.114456178016624,0.13260383760523353,-0.15367479588366265,-0.0576308326313817,0.5016288182964954,-0.5970975531304031,0.2738199061922621,0.20403293239848644,0.005980666357467257,0.022746394582705012,0.04182284945740381,0.00601293048432232,False,False
IBM,83,Other,84.80669683446263,0.12754717079385672,-0.14356328228874404,0.1143814017403938,0.6724426793563693,-0.9604754560340465,0.2505197949897514,0.19538680123935814,-0.005708721933553027,0.04341749385730504,0.03251764804784767,0.008235316815047213,False,False
F,137,Other,26.157113701608314,0.11457510869915767,0.007995943036492682,0.09829770178859527,0.6049369727775726,0.04713375332522133,0.18247458116749343,0.9261148365803207,0.0004656777112946279,0.042153451829434696,0.03624573965192922,0.007983866985723185,False,False
PM,65,Other,77.90210409018817,0.11439522490228549,-0.21206840422019865,0.08077702198787881,0.7400894512592012,-1.1617191516110323,0.36421009135095295,0.08990017841423208,0.0026982647981501004,0.04114917849251137,0.035383096341716054,0.006360406191692228,False,False
GM,81,Other,25.70772605854767,0.10698915109300676,-0.08150472450250815,-0.0201640376593062,0.5199375340573413,-0.4817393187955008,0.3417727135188029,0.46946737767255153,0.003929660165280115,0.03620089118050231,0.03639750129383441,0.007449169106889505,False,False
SNY,44,Other,74.12185447320408,0.10461809168518094,0.083058479906922,-0.0920537118676596,0.6732028079262843,0.47805511644494453,0.49914333148085654,0.591948586979554,-0.00048627144135216134,0.038179003706875735,0.032779678275667495,0.005933151887108819,False,False
QCOM,81,Other,50.500266689591044,0.07982314034190763,-0.09747539918584587,0.004541266218325587,0.7687077370361355,-0.7892250895135012,0.4787132242024297,0.38665070625974896,0.00172838891942868,0.0654778792305014,0.0330988623488333,0.006799268032944355,False,False
EBAY,72,Other,9.614004035438434,0.07613732907164873,-0.08087044050177648,0.10637852548732651,0.6511841782951788,-1.1953555211672675,0.5249957182936265,0.4994812812543914,-0.003032542782688704,0.0676125045993123,0.03791515720629216,0.007905344883399047,False,False
NFLX,77,Technology,49.64821928322807,0.07410457210316039,0.0013675487167281277,0.08277366769728386,1.7646059162382752,0.028422737543530627,0.521840722149236,0.9905820579838216,0.012033137316323201,0.14804434776695397,0.0360484524378549,0.006217117908653894,False,False
