ticker,market_cap,stock_price,date,log_market_cap
ABT,22439910557.96145,12.90486662728446,2004-11-01,23.834106931762367
ABT,23250576178.68015,13.371068651025945,2004-12-01,23.869595750551426
ABT,23886689975.805767,13.736888456344605,2005-01-01,23.89658723597681
ABT,23782408996.13205,13.67691797959177,2005-02-01,23.89221202653203
ABT,23621211650.927444,13.584215727719394,2005-03-01,23.88541094406834
ABT,24917786357.119793,14.329857008797783,2005-04-01,23.938847696948933
ABT,25493874174.770344,14.661156745184035,2005-05-01,23.96170403181094
ABT,25508439245.707077,14.669532905925404,2005-06-01,23.962275185170693
ABT,24809105794.371037,14.267356395721436,2005-07-01,23.934476591855123
ABT,24139026660.05485,13.882003618323285,2005-08-01,23.90709573117551
ABT,23009901926.620487,13.232660384405227,2005-09-01,23.85919047877776
ABT,22537594146.042015,12.961043039957682,2005-10-01,23.838450602773477
ABT,21636270385.038902,12.442704836527506,2005-11-01,23.79763692787505
ABT,20771464907.84683,11.945367767697288,2005-12-01,23.75684600233512
ABT,21922704079.40188,12.607428693771363,2006-01-01,23.81078865270443
ABT,22972114472.981495,13.210929368671618,2006-02-01,23.857546903088643
ABT,23279790781.28963,13.387869544651197,2006-03-01,23.87085147271126
ABT,22342028703.267467,12.848576194361636,2006-04-01,23.829735436816623
ABT,22555485457.329124,12.97133207321167,2006-05-01,23.83924413084401
ABT,22759280317.965195,13.088531537489457,2006-06-01,23.848238825228556
ABT,24406681053.756657,14.035927772521973,2006-07-01,23.918122745443995
ABT,25952904740.879757,14.925138556438943,2006-08-01,23.979549376358666
ABT,26108218801.037804,15.014457416534423,2006-09-01,23.98551599829702
ABT,25613007697.895897,14.729668703946201,2006-10-01,23.966366172585186
ABT,25441695608.98663,14.631149609883627,2006-11-01,23.95965522449388
ABT,26046808815.967262,14.979141426086425,2006-12-01,23.98316109537564
ABT,28093855027.595406,16.15636796951294,2007-01-01,24.058816707079675
ABT,28838661780.36108,16.58469551487973,2007-02-01,24.084982746773438
ABT,29543725996.17264,16.990167704495516,2007-03-01,24.109137240021383
ABT,31333784084.173016,18.019604110717772,2007-04-01,24.16796271610993
ABT,31635540524.336143,18.193139856511895,2007-05-01,24.17754702567513
ABT,29739644372.667744,17.10283751714797,2007-06-01,24.11574682002756
ABT,29151496401.40289,16.764602161589124,2007-07-01,24.09577208295031
ABT,28980776510.069706,16.66642363175102,2007-08-01,24.089898568168373
ABT,29170031150.276417,16.775261226453278,2007-09-01,24.096407688712905
ABT,29653906768.362267,17.053531066231105,2007-10-01,24.112859716555455
