TICKER	EVENT_DATE	QUARTER	FISCAL_YEAR
AXP	2012-04-30	Q0	2012
AXP	2012-07-19	Q2	2012
AXP	2012-10-18	Q3	2012
AXP	2013-01-18	Q4	2012
AXP	2013-04-17	Q1	2013
AXP	2013-04-29	Q0	2013
AXP	2013-06-12	Q-1	2013
AXP	2013-06-13	Q-1	2013
AXP	2013-07-17	Q2	2013
AXP	2013-09-11	Q-1	2013
AXP	2013-10-16	Q3	2013
AXP	2014-01-17	Q4	2013
AXP	2014-04-17	Q1	2014
AXP	2014-05-30	Q0	2014
AXP	2014-06-11	Q-1	2014
AXP	2014-07-30	Q2	2014
AXP	2014-08-09	Q-1	2014
AXP	2014-10-16	Q3	2014
AXP	2015-01-22	Q4	2014
AXP	2015-04-17	Q1	2015
AXP	2015-07-23	Q4	2014
AXP	2015-10-22	Q3	2015
AXP	2016-01-22	Q4	2015
AXP	2016-04-21	Q1	2016
AXP	2016-07-21	Q2	2016
AXP	2016-10-20	Q3	2016
AXP	2017-01-20	Q4	2016
AXP	2017-04-20	Q1	2017
AXP	2017-07-20	Q2	2017
AXP	2017-10-19	Q3	2017
AXP	2018-01-19	Q4	2017
AXP	2018-04-19	Q1	2018
AXP	2018-07-19	Q2	2018
AXP	2018-09-12	Q-1	2018
AXP	2018-10-19	Q3	2018
AXP	2018-12-05	Q-1	2018
AXP	2019-01-18	Q4	2018
AXP	2019-03-16	Q-1	2019
AXP	2019-04-19	Q1	2019
AXP	2019-07-19	Q2	2019
AXP	2019-09-10	Q-1	2019
AXP	2019-10-18	Q3	2019
AXP	2019-12-10	Q-1	2019
AXP	2020-01-24	Q4	2019
AXP	2020-04-24	Q1	2020
AXP	2020-06-04	Q-1	2020
AXP	2020-07-24	Q2	2020
AXP	2020-10-23	Q3	2020
AXP	2021-01-26	Q4	2020
AZN	2005-11-09	Q3	2005
AZN	2006-02-06	Q4	2005
AZN	2006-04-20	Q1	2006
AZN	2006-07-20	Q2	2006
AZN	2006-10-26	Q3	2006
AZN	2007-02-07	Q4	2006
AZN	2007-07-27	Q2	2007
AZN	2007-11-01	Q3	2007
AZN	2010-07-29	Q2	2010
AZN	2010-10-31	Q3	2010
AZN	2012-07-26	Q2	2012
AZN	2012-10-25	Q3	2012
AZN	2013-01-31	Q4	2012
AZN	2013-04-26	Q1	2013
AZN	2013-08-01	Q2	2013
AZN	2013-11-01	Q3	2013
AZN	2014-02-06	Q4	2013
AZN	2014-04-24	Q1	2014
AZN	2014-08-01	Q2	2014
AZN	2014-11-09	Q3	2014
AZN	2015-02-07	Q4	2014
AZN	2015-04-24	Q1	2015
AZN	2015-07-30	Q2	2015
AZN	2015-11-05	Q3	2015
AZN	2016-02-08	Q4	2015
AZN	2016-04-29	Q1	2016
AZN	2016-07-31	Q2	2016
AZN	2016-11-10	Q3	2016
AZN	2017-02-03	Q4	2016
AZN	2017-04-28	Q1	2017
AZN	2017-07-27	Q2	2017
AZN	2017-11-09	Q3	2017
AZN	2017-12-15	Q-1	2017
AZN	2018-02-05	Q4	2017
AZN	2018-05-19	Q1	2018
AZN	2018-07-27	Q2	2018
AZN	2018-11-08	Q3	2018
AZN	2019-02-15	Q4	2018
AZN	2019-04-26	Q1	2019
AZN	2019-07-25	Q2	2019
AZN	2019-10-24	Q3	2019
AZN	2020-02-14	Q4	2019
AZN	2020-04-29	Q1	2020
AZN	2020-07-30	Q2	2020
AZN	2020-11-06	Q3	2020
BA	2006-04-26	Q1	2006
BA	2006-07-26	Q2	2006
BA	2006-10-25	Q3	2006
BA	2007-01-31	Q4	2006
BA	2007-04-25	Q1	2007
BA	2007-07-25	Q2	2007
BA	2007-10-25	Q3	2007
BA	2008-01-30	Q4	2007
BA	2008-04-23	Q1	2008
BA	2008-07-23	Q2	2008
BA	2008-10-22	Q3	2008
BA	2009-01-28	Q4	2008
BA	2009-04-22	Q1	2009
BA	2009-07-22	Q2	2009
BA	2009-10-21	Q3	2009
BA	2010-01-27	Q4	2009
BA	2010-04-21	Q1	2010
BA	2010-07-29	Q2	2010
BA	2011-01-26	Q4	2010
BA	2011-04-28	Q1	2011
BA	2011-07-27	Q2	2011
BA	2011-10-26	Q3	2011
BA	2012-01-25	Q4	2011
BA	2012-04-25	Q1	2012
BA	2012-07-25	Q2	2012
BA	2012-10-24	Q3	2012
BA	2013-01-30	Q4	2012
BA	2013-04-24	Q1	2013
BA	2013-05-22	Q0	2013
BA	2013-07-24	Q2	2013
BA	2013-09-16	Q-1	2013
BA	2013-10-23	Q3	2013
BA	2013-12-04	Q-1	2013
BA	2014-01-29	Q4	2013
BA	2014-02-05	Q0	2014
BA	2014-04-23	Q1	2014
BA	2014-05-22	Q0	2014
BA	2014-05-29	Q0	2014
BA	2014-07-23	Q2	2014
BA	2014-09-16	Q0	2014
BA	2014-10-22	Q3	2014
BA	2014-12-03	Q-1	2014
BA	2015-01-28	Q4	2014
BA	2015-02-18	Q-1	2015
BA	2015-03-05	Q-1	2015
BA	2015-04-22	Q1	2015
BA	2015-07-22	Q2	2015
BA	2015-08-12	Q-1	2015
