,car,positive_ratio,negative_ratio,uncertainty_ratio,price_volatility_pre_event,log_market_cap,price_momentum_1month,abnormal_turnover
car,1.0,0.019628808409569237,-0.03471748746688321,0.023734062166772145,0.14470253916398795,-0.06070512014277928,0.4707670982298176,-0.012251339019270193
positive_ratio,0.019628808409569237,1.0,-0.27863607913438687,-0.3032688299776109,-0.1845516358331325,0.1787665920359057,0.026659648170770198,-0.0033576834101999666
negative_ratio,-0.03471748746688321,-0.27863607913438687,1.0,0.29058936616715786,0.24333504827548108,-0.07187313191330141,-0.02951540703317549,-0.019492846801359612
uncertainty_ratio,0.023734062166772145,-0.3032688299776109,0.29058936616715786,1.0,0.2247445193173703,-0.2285214411484779,-0.026010226666449858,0.010236712884151263
price_volatility_pre_event,0.14470253916398795,-0.1845516358331325,0.24333504827548108,0.2247445193173703,1.0,-0.3012525459233801,0.01467478141564478,0.26555665688461916
log_market_cap,-0.06070512014277928,0.1787665920359057,-0.07187313191330141,-0.2285214411484779,-0.3012525459233801,1.0,0.03188062139849291,-0.16514911919086733
price_momentum_1month,0.4707670982298176,0.026659648170770198,-0.02951540703317549,-0.026010226666449858,0.01467478141564478,0.03188062139849291,1.0,-0.06208509220678803
abnormal_turnover,-0.012251339019270193,-0.0033576834101999666,-0.019492846801359612,0.010236712884151263,0.26555665688461916,-0.16514911919086733,-0.06208509220678803,1.0
